31401375		48	60
31401423		18	18
31501137		63	78
31501154		57	62
31501159		83	90
31501167		62	77
31501169		79	85
31501178		51	71
31501181		75	85
31501186		75	85
31501187		68	81
31501200		83	85
31501201		60	76
31501291		79	81
31501292		58	75
31501323		77	86
31501349		54	64
31501354		56	60
31501383		26	26
31501419		51	65
31601264		58	75
31601266		58	75
31601267		66	80
31601268		67	80
31601269		65	79
31601270		80	88
31601271		80	88
31601272		69	81
31601277		54	66
31601278		67	80
31601279		81	89
31601280		73	84
31601281		71	83
31601282		66	74
31601283		72	77
31601284		70	76
31601285		64	78
31601286		84	90
31601287		67	80
31601288		86	92
31601289		53	72
31601290		57	62
31601291		61	77
31601296		73	84
31601297		91	95
31601298		61	77
31601301		54	66
31601302		48	60
31601303		68	81
31601305		58	75
31601306		65	79
31601307		39	39
31601313		59	75
31601314		74	84
31601315		73	84
31601316		67	80
31601322		74	78
31601324		78	69
31601332		61	62
31601333		53	49
31601335		64	78
31601337		65	45
31601338		49	69
