31401375	48
31401423	18
31501137	63
31501154	57
31501159	83
31501167	62
31501169	79
31501178	51
31501181	75
31501186	75
31501187	68
31501200	83
31501201	60
31501291	79
31501292	58
31501323	77
31501349	54
31501354	56
31501383	26
31501419	51
31601264	58
31601266	58
31601267	66
31601268	67
31601269	65
31601270	80
31601271	80
31601272	69
31601277	54
31601278	67
31601279	81
31601280	73
31601281	71
31601282	66
31601283	72
31601284	70
31601285	64
31601286	84
31601287	67
31601288	86
31601289	53
31601290	57
31601291	61
31601296	73
31601297	91
31601298	61
31601301	54
31601302	48
31601303	68
31601305	58
31601306	65
31601307	39
31601313	59
31601314	74
31601315	73
31601316	67
31601322	74
31601324	78
31601332	61
31601333	53
31601335	64
31601337	65
31601338	49
